"AdID" "LocationID" "CategoryID" "Params" "Price" "Title" "IsContext"
"1" 1 343 43 "{1283:'С пробегом', 633:'Синий', 1159:0, 210:'Toyota', 184:'0 - 4 999', 1162:0, 1165:0, 1135:0, 1329:'2.0', 1138:0, 277:'Estima', 695:'Полный', 696:'правый', 697:'Не битый', 186:'Дизель', 187:'Микроавтобус', 188:'1993', 185:'Механика'}" 160000 "Toyota Estima, 1993" 0
"2" 2 992 34 "{817:'Кузов', 5:'Запчасти', 598:'Для автомобилей'}" 750 "Передние брызговики Форд Фокус 2 родные" 0
"3" 3 3771 53 "{181:'Промышленное'}" 18000 "Дровокол" 0
"4" 4 4294 57 "{130:'Приборы и аксессуары'}" 1500 "Продам ходули складные" 0
"5" 5 1344 34 "{817:'Автосвет', 5:'Запчасти', 598:'Для автомобилей'}" 800 "Поворотник R - Carina (20317)" 0
"6" 6 3953 34 "{817:'Кузов', 5:'Запчасти', 598:'Для автомобилей'}" 0 "ВАЗ дверь 2106 передняя левая" 0
"7" 7 1330 26 "{132:'Видео, DVD и Blu-ray плееры'}" 30 "Видео" 0
"8" 8 3022 22 "{83:'Свадебные платья', 476:'42–44 (S)', 175:'Женская одежда'}" 7000 "Дизайнерское платье" 0
"9" 9 2840 47 "{127:'Игрушки'}" 2460 "Светодиодный конструктор lite brix Подиум" 0
"10" 10 2277 54 "{549:'3', 201:'Продам', 498:'Кирпичный', 499:'Вторичка', 566:'Не первый', 575:'< 5'}" 7e+06 "3-к квартира, 92 м², 4/4 эт." 0
"11" 11 2164 54 "{576:'9-12', 550:'1', 201:'Сдам', 503:'Панельный', 567:'Не первый и не последний', 504:'Посуточно'}" 800 "1-к квартира, 34 м², 2/9 эт." 0
"12" 12 4294 43 "{1283:'С пробегом', 633:'Синий', 1159:0, 210:'Honda', 184:'130 000 - 139 999', 1162:0, 1165:0, 1135:0, 632:'1.8', 1138:0, 244:'Civic', 695:'Передний', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Седан', 188:'2008', 185:'Автомат'}" 459000 "Honda Civic, 2008" 0
"13" 13 3960 38 "{45:'Предметы интерьера, искусство'}" 25700 "\"\"Столичные\"\", Большой театр. СССР. Редкие" 0
"14" 14 3960 37 "{14:'Другое'}" 200 "Приёмник трехпрограммный \"\"русь-201\"\"" 0
"15" 15 3960 29 "{483:'Сетевое оборудование'}" 300 "ZTE zxdsl 831" 0
"16" 16 3953 34 "{817:'Кузов', 5:'Запчасти', 598:'Для автомобилей'}" 1400 "Форд фокус 2 зеркало Ford Focus 2" 0
"17" 17 346 14 "" 0 "Продается новая свадебная карета ручной работы" 0
"18" 18 1751 38 "{45:'Предметы интерьера, искусство'}" 500 "Кукла Попик" 0
"19" 19 3976 250006 "{712:'Удалённая работа', 827:'Не имеет значения', 711:'IT, интернет, телеком'}" 36000 "Диспетчер на входящие звонки. На дому" 0
"20" 20 576 34 "{817:'Автосвет', 5:'Запчасти', 598:'Для автомобилей'}" 2000 "Фонари ауди а6 с5" 0
"21" 21 3129 11 "{104:'Бижутерия'}" 700 "Подари себе или близкому \"\"полёт ласточки\"\"" 0
"22" 22 2757 37 "{14:'Модели'}" 5700 "Точная копия спец техники китая" 0
"23" 23 3928 34 "{817:'Запчасти для ТО', 5:'Запчасти', 598:'Для автомобилей'}" 4000 "Чип тюнинг от ледокола форд фокус 2 1.8" 0
"24" 24 3953 34 "{709:'Шины', 731:'205', 732:'65', 733:'15', 734:'Всесезонные', 5:'Шины, диски и колёса'}" 3000 "205 65 15c ContinentalConti Vanko Winter 2" 0
"25" 25 3282 43 "{1283:'С пробегом', 633:'Синий', 1159:0, 210:'Volvo', 184:'190 000 - 199 999', 1162:0, 279:'XC70', 1165:0, 1135:0, 632:'3.2', 1138:0, 695:'Полный', 696:'левый', 185:'Автомат', 186:'Бензин', 187:'Универсал', 188:'2008'}" 625000 "Volvo XC70, 2008" 0
"26" 26 820 33 "{531:'Сельхозназначения (СНТ, ДНП)', 203:'Продам'}" 190000 "Участок 6 сот. (СНТ, ДНП)" 0
"27" 27 942 250001 "{722:'Ремонт, строительство'}" 10000 "Бригада электромонтеров" 0
"28" 28 939 54 "{549:'3', 201:'Продам', 498:'Кирпичный', 499:'Вторичка', 566:'Не первый', 575:'9-12'}" 3800000 "3-к квартира, 74 м², 9/9 эт." 0
"29" 29 942 22 "{83:'Топы и футболки', 92:'44–46 (M)', 175:'Женская одежда'}" 280 "Новое поло размер 44" 0
"30" 30 3960 34 "{817:'Салон', 5:'Запчасти', 598:'Для автомобилей'}" 800 "Заднее стекло фольксваген Пасат B5/B5+" 0
"31" 31 1718 54 "{549:'4', 201:'Продам', 498:'Кирпичный', 499:'Вторичка', 566:'Не первый и не последний', 575:'5-8'}" 900900 "4-к квартира, 60 м², 2/5 эт." 0
"32" 32 3953 13 "{137:'Игры для приставок'}" 190 "Dead or alive 4 (Для xbox 360) LT 3.0" 0
"33" 33 3953 34 "{817:'Кузов', 5:'Запчасти', 598:'Для автомобилей'}" 4800 "Бампер передний грунт под покраску lancer 9 06-07г" 0
"34" 34 2225 27 "{48:'Другое'}" 5000 "Ardo Молокоотсос Calypso электрический" 0
"35" 35 44 34 "{817:'Двигатель', 5:'Запчасти', 598:'Для автомобилей'}" 1 "Продам коленвал двигатель 4G64" 0
"36" 36 2840 43 "{1283:'С пробегом', 633:'Серебряный ', 184:'30 000 - 34 999', 695:'Передний', 632:'1.6', 210:'ВАЗ (LADA)', 185:'Механика', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Седан', 188:'2012', 280:'Priora'}" 350000 "LADA Priora, 2012" 0
"37" 37 2350 29 "{483:'Комплектующие', 631:'Видеокарты'}" 1200 "GT210 1GB" 0
"38" 38 1967 250005 "{716:'Ремонт, строительство'}" 0 "Душевые кабины" 0
"39" 39 378 50 "{44:'Камины и обогреватели'}" 1200 "Продам газовые баллоны" 0
"40" 40 1653 57 "{130:'Парфюмерия'}" 1100 "Laura Biagiotti аромат Biagiotti Due Donna" 0
"41" 41 3193 43 "{1283:'С пробегом', 633:'Чёрный', 1159:0, 210:'Ford', 184:'120 000 - 129 999', 1162:0, 241:'Focus', 1165:0, 1135:0, 632:'1.8', 1138:0, 695:'Передний', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Хетчбэк', 188:'2008', 185:'Механика'}" 385000 "Ford Focus, 2008" 0
"42" 42 3807 29 "{483:'Комплектующие', 631:'Видеокарты'}" 4500 "Продаётся Видеокарта GeForce GTX 650 zotac" 0
"43" 43 547 34 "{817:'Электрооборудование', 5:'Запчасти', 598:'Для автомобилей'}" 3000 "Блок ABS и TRC Toyota Mark-2 1JZ-GTE" 0
"44" 44 1344 42 "{202:'Продам', 556:'Дом', 525:'120'}" 1e+05 "Дом 52 м² на участке 9 сот." 0
"45" 45 1436 60 "{178:'Для девочек', 115:'86-92 см (1-2 года)', 179:'Платья и юбки'}" 1100 "Новая пышная американская юбочка + топ и шапочка" 0
"46" 46 1653 35 "" 0 "Растения для офиса и дома" 0
"47" 47 2430 22 "{176:'Брюки', 175:'Мужская одежда', 95:'48–50 (L)'}" 1800 "Zara MAN брюки мужские" 0
"48" 48 3129 47 "{127:'Детские коляски'}" 8500 "Продам новую коляску прогулочную Inglesina" 0
"49" 49 1301 250004 "{714:'Продажи', 715:'Сменный график', 822:'Среднее специальное', 823:'3', 824:'Женский', 825:'29'}" 0 "Продавец-консультант или любая другая работа" 0
"50" 50 3960 34 "{5:'Аудио- и видеотехника'}" 1200 "Магнитола с AUX, USB, SD, FM" 0
"51" 51 3282 38 "{45:'Шкафы и комоды'}" 7499 "Угловой шкаф" 0
"52" 52 2430 22 "{83:'Верхняя одежда', 86:'40–42 (XS)', 175:'Женская одежда'}" 500 "Продам куртку" 0
"53" 53 1132 43 "{1283:'С пробегом', 633:'Красный', 1159:0, 210:'Ford', 184:'290 000 - 299 999', 1162:0, 241:'Galaxy', 1165:0, 1135:0, 632:'2.3', 1138:0, 695:'Передний', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Минивэн', 188:'1999', 185:'Механика'}" 175000 "Ford Galaxy, 1999" 0
"54" 54 2164 22 "{90:'48–50 (XL)', 83:'Платья и юбки', 175:'Женская одежда'}" 600 "Юбка" 0
"55" 55 1830 60 "{112:'74-80 см (7-12 мес)', 178:'Для девочек', 179:'Верхняя одежда'}" 1000 "Детский осенний комбинезон" 0
"56" 56 942 59 "{217:'Хорьки'}" 6500 "Хорек девочька" 0
"57" 57 1579 53 "{181:'Промышленное'}" 0 "Лента полипропиленовая от производителя" 0
"58" 58 4268 54 "{549:'1', 201:'Продам', 498:'Панельный', 499:'Вторичка', 566:'Не первый', 575:'5-8'}" 1750000 "1-к квартира, 33 м², 5/5 эт." 0
"59" 59 2077 34 "{709:'Шины', 731:'285', 732:'60', 733:'18', 734:'Зимние шипованные', 5:'Шины, диски и колёса'}" 8800 "285 60 R18 Nokian hkpl 5 новые из Финляндии" 0
"60" 60 3022 6 "{512:'2', 518:'Кирпичный', 200:'Сдам', 596:'На длительный срок', 565:'Не первый и не последний', 574:'9-12'}" 5500 "Комната 18 м² в 2-к, 6/9 эт." 0
"61" 61 1314 54 "{549:'2', 201:'Продам', 498:'Панельный', 499:'Вторичка', 566:'Не первый', 575:'5-8'}" 0 "2-к квартира, 53 м², 5/5 эт." 0
"62" 62 3953 60 "{178:'Для девочек', 179:'Трикотаж', 478:'98-104 см (2-4 года)'}" 100 "Кофта с вышивкой 92-98" 0
"63" 63 3960 34 "{817:'Рулевое управление', 5:'Запчасти', 598:'Для автомобилей'}" 5000 "Гур Мицубиси Паджеро3 двигат 3.5(c 1999-2008гг)" 0
"64" 64 3960 13 "{137:'Игровые приставки'}" 12000 "Продажа/обмен ps3 500gb+ игры" 0
"65" 65 3960 47 "{127:'Детская мебель'}" 3250 "Качели graco silhouette" 0
"66" 66 2597 54 "{549:'1', 201:'Продам', 498:'Кирпичный', 499:'Вторичка', 566:'Не последний', 575:'5-8'}" 1200000 "1-к квартира, 31 м², 1/5 эт." 0
"67" 67 1279 54 "{549:'2', 201:'Продам', 498:'Панельный', 499:'Вторичка', 566:'Не первый', 575:'5-8'}" 1e+06 "2-к квартира, 44 м², 5/5 эт." 0
"68" 68 1647 38 "{45:'Шкафы и комоды'}" 17800 "Шкаф купе" 0
