"LocationID" "Level" "RegionID" "CityID"
"1" 7 3 83 2386
"2" 23 3 28 3224
"3" 26 3 41 1316
"4" 30 3 63 2565
"5" 32 3 28 2819
"6" 35 3 38 1564
"7" 39 3 55 1881
"8" 44 3 55 746
"9" 53 3 83 3588
"10" 63 3 28 2026
"11" 67 3 41 2256
"12" 69 3 42 1228
"13" 72 3 28 1953
"14" 79 2 41 1814
"15" 81 3 55 3255
"16" 83 3 38 256
"17" 84 2 83 3692
"18" 94 3 7 2504
"19" 101 3 67 1151
"20" 102 3 79 2444
"21" 103 3 77 1999
"22" 104 3 13 2808
"23" 105 3 30 2372
"24" 106 3 66 2874
"25" 107 3 38 1804
"26" 108 3 63 1779
"27" 109 3 38 1104
"28" 110 3 45 2628
"29" 112 3 4 1617
"30" 113 3 33 1852
"31" 114 3 59 1414
"32" 115 3 44 2109
"33" 116 3 56 438
"34" 117 3 9 3119
"35" 118 3 56 1197
"36" 119 3 53 979
"37" 120 3 46 700
"38" 121 3 7 3472
"39" 122 3 54 1719
"40" 123 3 1 2978
"41" 124 3 64 3373
"42" 125 3 42 1671
"43" 126 3 39 3152
"44" 127 3 36 2148
"45" 128 3 43 2259
"46" 129 3 6 878
"47" 130 3 14 1789
"48" 131 3 50 3248
"49" 132 3 67 1816
"50" 133 3 79 647
"51" 134 3 77 1052
"52" 135 3 13 3324
"53" 136 3 30 1419
"54" 137 3 66 793
"55" 139 3 38 1995
"56" 140 3 63 2269
"57" 141 3 38 862
"58" 142 3 45 601
"59" 144 3 26 317
"60" 145 3 33 1204
"61" 146 3 55 1044
"62" 147 3 20 3139
"63" 148 3 44 335
"64" 149 3 56 2248
"65" 150 3 84 3336
"66" 151 3 56 1259
"67" 152 3 53 1914
"68" 153 3 29 3162
"69" 154 3 7 2504
"70" 155 3 51 1268
"71" 156 3 64 1185
"72" 157 3 37 2715
"73" 158 3 48 1775
"74" 159 3 36 2138
"75" 161 3 43 2192
"76" 162 3 6 560
"77" 163 3 14 1258
"78" 165 3 22 1547
"79" 166 3 32 2077
"80" 167 3 72 2605
"81" 168 3 24 3666
"82" 169 3 13 2614
"83" 170 3 30 2027
"84" 171 3 11 189
"85" 173 3 38 2909
"86" 174 3 63 1608
"87" 175 3 38 2131
"88" 176 3 23 1003
"89" 177 3 75 1808
"90" 178 3 45 1449
"91" 180 3 20 1827
"92" 181 3 44 1739
"93" 182 3 56 2350
"94" 183 3 84 1032
"95" 184 3 56 1095
"96" 185 3 49 3610
"97" 186 3 29 1947
"98" 187 3 7 3657
"99" 188 3 51 1153
"100" 189 3 81 3247
"101" 190 3 70 125
"102" 191 3 37 2910
"103" 192 3 48 3572
"104" 193 3 36 2835
"105" 194 3 16 394
"106" 195 3 6 1201
"107" 196 3 35 1274
"108" 197 3 14 2535
"109" 198 3 22 1613
"110" 199 3 32 2136
"111" 200 3 12 3267
"112" 201 3 24 900
"113" 202 3 73 1053
"114" 203 3 68 3569
"115" 204 3 11 198
"116" 206 3 38 1477
"117" 207 3 34 1633
"118" 208 3 38 1647
"119" 209 2 23 852
"120" 210 3 75 78
"121" 211 3 45 565
"122" 212 3 20 1148
"123" 213 3 27 2144
"124" 214 3 56 2539
"125" 215 3 56 184
"126" 216 3 49 1248
"127" 218 3 29 1664
"128" 219 3 19 1295
"129" 220 3 17 2865
"130" 221 3 81 2744
"131" 222 3 54 2392
"132" 223 3 15 1024
"133" 224 3 52 235
"134" 225 3 42 2037
"135" 226 3 16 3611
"136" 227 3 3 2811
"137" 228 3 35 1726
"138" 229 3 14 1916
"139" 230 3 2 2951
"140" 231 2 32 1396
"141" 232 3 12 426
"142" 233 3 57 76
"143" 234 3 5 986
"144" 235 3 68 2484
"145" 236 3 13 2435
"146" 237 3 40 2595
"147" 238 3 38 3716
"148" 239 3 63 1330
"149" 240 3 75 1207
"150" 241 3 45 1042
"151" 242 3 20 3102
"152" 243 3 65 3545
"153" 244 3 56 1958
"154" 245 3 56 2600
"155" 246 3 60 3387
"156" 247 3 61 783
"157" 248 3 19 3228
"158" 250 3 20 1562
"159" 251 3 17 3003
"160" 252 3 10 3390
"161" 254 3 54 1174
"162" 255 3 1 511
"163" 256 3 52 2319
"164" 257 3 42 1701
"165" 258 3 39 2158
"166" 259 3 71 578
"167" 260 3 35 2188
"168" 261 3 6 345
"169" 262 3 14 238
"170" 263 3 80 151
"171" 264 3 25 2323
"172" 265 3 67 2245
"173" 266 3 79 1760
"174" 267 3 68 2522
"175" 268 3 13 440
"176" 269 3 66 1159
"177" 270 3 38 3594
"178" 271 3 63 3242
"179" 273 3 75 2080
"180" 274 3 45 29
"181" 275 3 4 1404
"182" 276 3 65 3608
"183" 277 3 59 1519
"184" 278 3 56 23
"185" 279 3 9 2655
"186" 280 3 61 2315
"187" 281 3 19 2025
"188" 282 3 46 2906
"189" 283 3 82 1521
"190" 284 3 54 3176
"191" 285 3 1 3079
"192" 286 3 62 3515
"193" 287 3 42 1136
"194" 288 3 39 304
"195" 289 3 36 1320
"196" 290 3 35 2869
"197" 291 3 6 483
"198" 292 3 14 2321
"199" 293 3 25 2937
"200" 294 3 67 2423
"201" 295 3 79 2123
"202" 296 3 77 2205
"203" 297 3 13 3578
"204" 298 3 30 1805
"205" 299 3 66 1843
"206" 301 3 38 2177
"207" 302 3 63 322
"208" 303 3 38 1956
"209" 304 3 45 1732
"210" 305 3 26 2441
"211" 306 3 33 98
"212" 307 2 59 2576
"213" 308 3 44 86
"214" 309 3 56 924
"215" 310 3 9 1437
"216" 311 3 56 2832
"217" 312 3 53 2451
"218" 313 3 29 1884
"219" 314 3 7 687
"220" 315 3 54 3379
"221" 316 3 51 1720
"222" 317 3 64 235
"223" 318 3 37 1784
"224" 319 3 48 2730
"225" 320 3 36 1523
"226" 322 3 43 2456
"227" 323 3 6 1202
"228" 324 3 14 1859
"229" 326 3 50 2039
"230" 327 3 32 1977
"231" 328 3 72 1943
"232" 329 3 24 1848
"233" 330 3 13 3150
"234" 331 3 30 3066
"235" 332 3 66 2120
"236" 334 3 38 2427
"237" 335 3 63 3006
"238" 336 3 38 574
"239" 337 3 23 530
"240" 338 3 26 3108
"241" 339 3 45 2968
"242" 340 3 20 730
"243" 341 3 44 2731
"244" 342 3 56 3194
"245" 343 3 84 2995
"246" 344 3 56 3599
"247" 345 2 53 2226
"248" 346 3 29 1302
"249" 347 3 7 3016
"250" 349 3 51 822
"251" 350 3 64 816
"252" 351 3 37 2209
"253" 352 3 48 1833
"254" 353 3 36 1903
"255" 354 3 16 756
"256" 355 3 6 3364
"257" 356 3 58 1657
"258" 357 3 14 1282
"259" 358 3 22 2387
"260" 359 3 20 2769
"261" 360 3 32 2724
"262" 361 2 72 3063
"263" 362 3 24 1412
"264" 363 3 73 1597
"265" 364 3 68 1343
"266" 365 3 11 2959
"267" 367 3 38 2472
"268" 368 3 34 433
"269" 369 3 38 1679
"270" 370 3 23 1126
"271" 371 3 75 3061
"272" 372 3 45 584
"273" 374 3 20 3473
"274" 375 3 27 597
"275" 376 3 56 1353
"276" 377 3 56 2717
"277" 378 3 49 281
"278" 380 3 29 1692
"279" 381 3 19 1466
"280" 382 3 17 2640
"281" 383 3 81 1812
"282" 384 3 54 1007
"283" 385 3 15 946
"284" 386 3 52 2625
"285" 387 3 42 2764
"286" 388 3 16 88
"287" 389 3 3 2988
"288" 390 3 35 3141
"289" 391 3 14 1886
"290" 392 3 2 3516
"291" 393 3 32 2548
"292" 394 3 12 2502
"293" 395 3 57 851
"294" 396 3 5 2756
"295" 397 3 68 1156
"296" 398 3 13 3060
"297" 400 3 38 2414
"298" 401 2 55 2352
"299" 403 3 38 3548
"300" 404 3 63 2557
"301" 405 3 75 3327
"302" 406 3 45 2757
"303" 407 3 20 18
"304" 408 3 65 245
"305" 409 3 56 70
"306" 410 3 84 1684
"307" 411 3 56 1625
"308" 412 3 60 420
"309" 413 3 29 2922
"310" 414 3 19 50
"311" 415 3 17 3674
"312" 416 3 74 4
"313" 418 3 54 127
"314" 419 3 1 2646
"315" 420 3 52 2383
"316" 421 3 42 66
"317" 422 3 16 2450
"318" 423 3 71 3235
"319" 424 3 35 548
"320" 425 3 14 386
"321" 426 3 14 177
"322" 427 3 80 327
"323" 428 3 12 2979
"324" 429 3 67 3318
"325" 430 3 79 591
"326" 431 3 68 974
"327" 432 3 13 3597
"328" 433 3 40 1446
"329" 434 3 66 1017
"330" 435 3 38 1301
"331" 436 3 63 2238
"332" 437 3 75 776
"333" 438 3 45 1236
"334" 439 3 4 476
"335" 440 3 65 3464
"336" 441 3 76 2121
"337" 442 3 84 172
"338" 443 3 56 1336
"339" 444 3 60 1390
"340" 445 3 61 977
"341" 446 3 19 1441
"342" 448 3 46 2272
"343" 449 3 82 579
"344" 451 3 54 1170
"345" 452 3 1 1721
"346" 453 3 62 1991
"347" 454 3 42 1917
"348" 455 3 39 145
"349" 456 3 28 814
"350" 457 2 71 3057
"351" 458 3 35 3425
"352" 459 3 6 545
"353" 460 3 14 3723
"354" 461 3 25 950
"355" 462 3 67 718
"356" 463 3 79 1138
"357" 464 3 77 99
"358" 465 3 13 431
"359" 466 3 30 2661
"360" 467 3 66 400
"361" 468 3 38 739
"362" 469 3 63 178
"363" 470 3 38 254
"364" 471 3 45 3714
"365" 472 3 4 2419
"366" 473 3 33 865
"367" 474 3 41 1398
"368" 475 3 59 76
"369" 476 3 44 2382
"370" 477 3 56 1512
"371" 478 3 9 2523
"372" 479 3 56 1600
"373" 480 3 53 1669
"374" 482 3 29 2056
"375" 483 3 7 1622
"376" 485 3 54 1471
"377" 486 3 51 3469
"378" 487 3 64 1183
"379" 488 3 42 3379
"380" 489 2 39 1694
"381" 490 3 36 3094
"382" 491 3 43 2776
