"SearchID" "SearchDate" "IPID" "UserID" "IsUserLoggedOn" "SearchQuery" "LocationID" "CategoryID" "SearchParams"
"1" 1 "2015-05-18 19:54:32.0" 1717090 3640266 0 "" 1729 5 ""
"2" 2 "2015-05-12 14:21:28.0" 1731568 769304 0 "" 697 50 ""
"3" 3 "2015-05-12 07:09:42.0" 793143 640089 0 "" 1261 12 ""
"4" 4 "2015-05-10 18:11:01.0" 898705 3573776 0 "" 3960 22 "{83:'Обувь', 175:'Женская одежда', 88:'38'}"
"5" 5 "2015-04-25 13:04:09.0" 2009707 320674 0 "" 547 1 ""
"6" 6 "2015-05-07 16:49:15.0" 1658456 1665156 0 "" 926 27 ""
"7" 7 "2015-05-14 23:07:27.0" 1849117 3434614 0 "" 44 500001 ""
"8" 8 "2015-05-09 09:10:06.0" 572585 905821 0 "" 2694 12 ""
"9" 9 "2015-05-02 20:14:15.0" 77162 1106541 0 "" 576 4 ""
"10" 10 "2015-05-15 17:38:46.0" 1371072 3310798 0 "" 1110 12 ""
"11" 11 "2015-05-17 12:01:01.0" 67356 3113486 1 "" 3953 22 "{175:'Аксессуары'}"
"12" 12 "2015-05-13 11:54:24.0" 1305191 632714 0 "" 1729 4 "{156:'Горные'}"
"13" 13 "2015-04-26 21:34:59.0" 1473851 638475 0 "" 3960 38 "{45:'Кровати, диваны и кресла'}"
"14" 14 "2015-04-28 01:30:16.0" 473331 2962661 1 "" 3961 38 "{45:'Кровати, диваны и кресла'}"
"15" 15 "2015-05-06 11:23:50.0" 1117012 2515153 0 "" 3725 34 ""
"16" 16 "2015-05-10 21:08:27.0" 2022127 1259151 0 "" 2114 34 "{5:'Шины, диски и колёса', 709:'Диски'}"
"17" 17 "2015-05-03 14:12:19.0" 697982 943133 1 "" 3960 37 ""
"18" 19 "2015-05-12 10:14:07.0" 2080435 2909452 0 "" 1261 60 "{110:'Верхняя одежда', 178:'Для мальчиков'}"
"19" 20 "2015-05-16 14:38:00.0" 486408 4280401 0 "" 3679 4 ""
"20" 21 "2015-05-14 17:27:55.0" 1279103 3419273 0 "" 576 38 "{45:'Подставки и тумбы'}"
"21" 22 "2015-05-02 20:07:15.0" 2112731 2770985 0 "" 230 47 "{127:'Детские коляски'}"
"22" 23 "2015-05-13 09:58:44.0" 490721 3524741 0 "" 3771 38 "{45:'Кухонные гарнитуры'}"
"23" 24 "2015-05-13 11:32:08.0" 370491 506999 1 "" 2077 41 ""
"24" 25 "2015-05-15 09:56:17.0" 403806 4114490 0 "peg-perego" 3960 47 ""
"25" 26 "2015-04-27 11:41:11.0" 361806 3315371 0 "" 1676 34 ""
"26" 27 "2015-05-15 17:59:20.0" 989126 798254 0 "" 3960 28 ""
"27" 28 "2015-05-16 20:19:47.0" 1845070 682366 0 "" 1338 12 ""
"28" 29 "2015-05-13 18:52:19.0" 1245673 2354001 0 "" 2875 38 ""
"29" 30 "2015-04-27 23:40:15.0" 2155191 1686759 0 "" 3884 38 ""
"30" 31 "2015-04-29 19:38:14.0" 138949 2323415 0 "" 926 60 ""
"31" 32 "2015-05-10 22:03:15.0" 1273144 916795 1 "" 230 60 "{178:'Для мальчиков'}"
"32" 33 "2015-05-01 00:18:23.0" 370391 921180 0 "полка" 3953 38 ""
"33" 34 "2015-04-28 18:03:53.0" 1344674 1532254 1 "bmw" 2060 0 ""
"34" 35 "2015-04-25 21:10:24.0" 1279103 3419273 0 "" 3960 47 ""
"35" 36 "2015-05-14 10:00:28.0" 166313 3564152 0 "" 1653 47 "{127:'Детская мебель'}"
"36" 37 "2015-05-18 08:46:10.0" 421840 3314799 0 "" 4545 11 ""
"37" 38 "2015-05-01 14:42:21.0" 2062156 4175118 1 "" 4314 50 ""
"38" 39 "2015-05-19 14:01:22.0" 2264502 768701 1 "" 72 12 ""
"39" 40 "2015-05-08 17:59:07.0" 1518644 793454 0 "" 4145 12 ""
"40" 41 "2015-04-27 13:26:40.0" 23041 2541357 0 "" 1312 34 ""
"41" 42 "2015-05-15 16:03:10.0" 348087 3344085 0 "" 1309 60 "{124:'32', 110:'Обувь', 178:'Для мальчиков'}"
"42" 43 "2015-04-27 10:27:41.0" 1949510 3488339 0 "nikon" 3960 44 "{223:'Объективы'}"
"43" 44 "2015-05-13 19:26:25.0" 1578003 2738605 0 "" 346 22 "{83:'Обувь', 175:'Женская одежда', 88:'36'}"
"44" 45 "2015-05-07 18:06:32.0" 1194283 1504867 0 "" 1110 27 "{486:'Микроволновые печи', 48:'Для кухни'}"
"45" 46 "2015-05-18 22:30:28.0" 1890431 2051525 0 "" 760 38 ""
"46" 47 "2015-05-20 00:13:19.0" 1057082 956264 0 "" 1110 50 "{44:'Сантехника и сауна'}"
"47" 48 "2015-04-26 19:39:49.0" 296495 4221659 0 "" 346 47 ""
"48" 49 "2015-04-30 22:42:49.0" 2157713 2855073 0 "" 3953 50 "{44:'Инструменты'}"
"49" 50 "2015-05-06 08:53:18.0" 1459936 608237 1 "" 3960 22 "{83:'Верхняя одежда', 175:'Женская одежда', 86:'46–48 (L)'}"
"50" 51 "2015-05-13 19:57:13.0" 2240078 2521970 0 "" 1134 27 "{487:'Швейные машины', 48:'Для дома'}"
"51" 52 "2015-05-09 16:07:50.0" 1382096 3891378 1 "" 2685 47 "{127:'Детские коляски'}"
"52" 53 "2015-05-14 19:30:46.0" 11299 2909031 0 "" 4306 49 ""
"53" 54 "2015-05-17 13:42:41.0" 1831678 4256353 0 "" 3335 47 "{127:'Товары для кормления'}"
"54" 55 "2015-05-17 18:39:28.0" 1676573 1350271 0 "" 3960 12 ""
"55" 56 "2015-05-18 10:21:36.0" 1164528 2455362 0 "" 414 2 ""
"56" 57 "2015-05-07 19:01:12.0" 316678 2422934 0 "велосипед" 1653 0 ""
"57" 58 "2015-05-03 16:20:49.0" 680340 4171334 0 "" 1461 4 ""
"58" 59 "2015-05-19 07:18:51.0" 233842 1439280 0 "" 378 25 "{140:'Планшеты'}"
"59" 60 "2015-05-12 10:44:51.0" 2261916 3530546 0 "кухонный гарнитур" 547 38 ""
"60" 61 "2015-05-08 09:08:26.0" 938842 3043769 0 "" 3771 28 ""
"61" 62 "2015-05-12 16:14:35.0" 1219953 596840 1 "" 3771 41 "{143:'Explay'}"
"62" 63 "2015-04-25 19:36:58.0" 189732 1547043 1 "" 1995 28 ""
"63" 64 "2015-04-29 13:49:09.0" 1948922 2039415 1 "" 3928 18 ""
"64" 65 "2015-05-05 10:49:04.0" 1614267 622341 0 "" 3960 60 "{125:'35', 179:'Обувь', 178:'Для девочек'}"
"65" 66 "2015-05-14 12:29:36.0" 1326923 2070713 1 "" 3976 50 "{44:'Инструменты'}"
"66" 67 "2015-05-04 14:46:50.0" 1254265 2215758 1 "" 733 50 "{44:'Сантехника и сауна'}"
"67" 68 "2015-05-08 11:09:12.0" 27665 122083 0 "" 547 41 ""
"68" 69 "2015-05-04 12:51:24.0" 670159 4071052 0 "" 4005 12 ""
"69" 70 "2015-05-08 00:26:47.0" 2183354 2302845 1 "бытовка" 3953 50 ""
"70" 71 "2015-05-11 22:17:34.0" 1856066 2428870 1 "сиденье" 2694 34 ""
"71" 72 "2015-05-07 12:12:44.0" 8578 1702365 0 "двухярусная кровать" 3960 38 "{45:'Кровати, диваны и кресла'}"
"72" 73 "2015-05-03 17:24:06.0" 678523 1066217 0 "" 3335 60 "{112:'134-140 см (8-10 лет)', 179:'Верхняя одежда', 178:'Для девочек'}"
"73" 74 "2015-05-08 23:44:07.0" 335701 319976 1 "" 4336 41 "{143:'Samsung'}"
"74" 75 "2015-04-27 07:20:20.0" 779764 3961114 0 "" 3960 27 "{48:'Для дома'}"
"75" 76 "2015-05-14 11:04:03.0" 1924177 638246 0 "" 3960 28 ""
"76" 77 "2015-05-08 14:01:37.0" 985536 2644718 0 "" 3953 4 ""
"77" 78 "2015-05-08 12:06:55.0" 433474 1610118 1 "" 4172 25 ""
"78" 79 "2015-05-07 22:22:27.0" 307830 3673865 0 "" 2885 34 "{797:'20', 800:'112', 5:'Шины, диски и колёса', 709:'Диски', 799:'5'}"
"79" 80 "2015-05-20 15:28:04.0" 35021 2170581 0 "" 853 60 "{179:'Платья и юбки', 178:'Для девочек'}"
"80" 81 "2015-05-20 12:37:54.0" 287104 3734978 0 "" 3928 44 "{223:'Бинокли и телескопы'}"
"81" 82 "2015-04-30 20:55:16.0" 740004 2073229 0 "" 436 34 "{598:'Для автомобилей', 5:'Запчасти', 817:'Двигатель'}"
"82" 83 "2015-05-11 18:19:05.0" 1329187 2894712 0 "" 3022 22 "{99:'50–52 (XL)', 176:'Пиджаки и костюмы', 175:'Мужская одежда'}"
"83" 84 "2015-05-07 23:33:10.0" 1373262 16085 0 "" 3960 22 "{175:'Мужская одежда'}"
"84" 85 "2015-04-28 08:56:21.0" 939579 3872588 0 "" 3960 22 "{83:'Платья и юбки', 175:'Женская одежда', 90:'40–42 (XS)'}"
"85" 86 "2015-05-16 14:37:39.0" 293675 845235 0 "" 4225 47 "{127:'Игрушки'}"
"86" 87 "2015-05-05 16:14:14.0" 938614 3820717 0 "" 1583 12 ""
"87" 88 "2015-05-01 17:21:52.0" 1808386 1835648 0 "" 2306 38 "{45:'Кровати, диваны и кресла'}"
"88" 89 "2015-05-07 21:05:45.0" 1755954 1369931 1 "кеды" 3960 22 "{83:'Обувь', 175:'Женская одежда', 88:'39'}"
"89" 90 "2015-05-12 20:55:39.0" 898112 432541 1 "" 3537 27 ""
"90" 91 "2015-05-17 07:59:56.0" 1666079 4201484 1 "" 813 13 "{137:'Игры для приставок'}"
"91" 92 "2015-05-16 16:41:03.0" 1239938 108056 1 "" 547 60 "{478:'86-92 см (1-2 года)', 179:'Трикотаж', 178:'Для девочек'}"
"92" 93 "2015-05-04 11:09:48.0" 387950 3660970 0 "" 2225 47 ""
"93" 94 "2015-05-09 08:28:22.0" 135607 2736471 0 "" 2702 7 ""
"94" 95 "2015-04-27 20:30:49.0" 64147 2519098 0 "" 176 22 "{175:'Женская одежда'}"
"95" 96 "2015-05-19 23:05:10.0" 19762 952196 0 "туфли" 3960 60 "{125:'36', 179:'Обувь', 178:'Для девочек'}"
"96" 97 "2015-04-26 19:09:09.0" 91175 1158848 0 "" 4429 12 ""
"97" 98 "2015-04-28 16:43:29.0" 1954539 3799207 1 "" 2885 12 ""
"98" 99 "2015-04-30 20:16:28.0" 1048373 753385 0 "" 3960 49 ""
"99" 100 "2015-05-17 14:31:57.0" 2207044 4025525 0 "" 1301 2 ""
"100" 101 "2015-05-07 17:50:11.0" 228444 4236018 0 "" 2277 22 "{83:'Верхняя одежда', 175:'Женская одежда', 86:'> 50 (XXL)'}"
"101" 102 "2015-05-13 16:07:38.0" 1860669 2814980 0 "" 1156 27 "{486:'Холодильники и морозильные камеры', 48:'Для кухни'}"
"102" 103 "2015-05-17 19:01:44.0" 1784053 1880171 0 "" 209 12 ""
"103" 104 "2015-05-02 20:05:01.0" 466957 2607601 0 "" 3022 38 "{45:'Кухонные гарнитуры'}"
"104" 105 "2015-05-13 13:37:07.0" 1686757 2041376 0 "" 1261 26 "{132:'Музыкальные центры, магнитолы'}"
"105" 106 "2015-05-20 08:36:42.0" 1201583 1135386 1 "" 4458 47 "{127:'Детские коляски'}"
"106" 107 "2015-04-28 18:10:21.0" 935752 1404033 0 "" 346 60 "{112:'74-80 см (7-12 мес)', 179:'Верхняя одежда', 178:'Для девочек'}"
"107" 108 "2015-05-20 11:13:56.0" 1116819 3745295 0 "acer aspire 5551" 346 0 ""
"108" 109 "2015-04-25 11:27:03.0" 1533730 328595 0 "" 3953 60 "{119:'98-104 см (2-4 года)', 110:'Верхняя одежда', 178:'Для мальчиков'}"
"109" 110 "2015-04-28 12:00:53.0" 1905978 2184992 0 "" 1294 47 "{127:'Детская мебель'}"
"110" 111 "2015-05-05 09:51:27.0" 17158 95436 0 "" 1729 38 "{45:'Кровати, диваны и кресла'}"
"111" 112 "2015-05-02 11:24:00.0" 1269123 1917803 1 "" 346 1 ""
"112" 113 "2015-05-14 04:26:58.0" 1738646 2349894 0 "" 3335 50 "{44:'Инструменты'}"
"113" 114 "2015-04-26 11:23:18.0" 1863801 3651138 1 "столик колеса" 3953 38 ""
"114" 115 "2015-05-09 13:30:21.0" 1853248 236803 1 "" 547 38 ""
"115" 116 "2015-05-12 22:14:36.0" 2150731 357139 0 "casio" 2840 11 "{104:'Часы'}"
"116" 117 "2015-04-27 09:04:35.0" 1362233 3898507 0 "" 3771 34 "{5:'Шины, диски и колёса'}"
"117" 118 "2015-05-12 21:33:59.0" 1434113 3500409 0 "" 3960 60 "{178:'Для девочек'}"
"118" 119 "2015-05-16 20:55:59.0" 1214136 1531808 0 "" 3807 50 ""
"119" 120 "2015-04-30 23:25:45.0" 1635133 1299044 0 "" 361 12 ""
"120" 121 "2015-05-09 22:21:40.0" 490755 3817669 0 "" 2685 44 ""
"121" 122 "2015-05-11 12:19:09.0" 1669097 658637 1 "" 3177 12 ""
"122" 123 "2015-05-05 12:22:05.0" 2044041 2841388 0 "" 2960 34 ""
"123" 124 "2015-05-10 19:01:12.0" 2260237 2312837 0 "" 3953 22 "{176:'Верхняя одежда', 175:'Мужская одежда', 96:'46–48 (M)'}"
"124" 125 "2015-05-12 09:53:52.0" 88753 4041332 0 "дрель бу" 3953 0 ""
"125" 126 "2015-04-28 23:03:15.0" 2239481 170763 0 "" 3953 38 "{45:'Кровати, диваны и кресла'}"
"126" 127 "2015-04-27 20:53:02.0" 1681047 1329580 1 "" 1294 22 "{83:'Обувь', 175:'Женская одежда', 88:'39'}"
"127" 128 "2015-05-11 21:34:19.0" 696035 2933149 0 "" 1885 41 ""
"128" 129 "2015-05-03 12:31:51.0" 1620846 1106025 0 "" 1998 17 ""
"129" 130 "2015-05-13 21:23:16.0" 1289517 2077936 0 "стиральная машина бу" 3960 27 ""
"130" 131 "2015-05-01 11:18:04.0" 163787 2571901 0 "" 2225 28 ""
"131" 132 "2015-05-14 15:09:12.0" 1515457 1784759 0 "" 3960 12 ""
"132" 133 "2015-05-02 20:55:19.0" 1636652 2072440 1 "" 3960 22 "{83:'Обувь', 175:'Женская одежда', 88:'39'}"
"133" 134 "2015-04-26 17:08:57.0" 879563 3937152 0 "" 3960 22 "{175:'Женская одежда'}"
"134" 135 "2015-05-02 15:57:45.0" 273115 4190378 0 "" 2277 60 "{178:'Для девочек'}"
