"SearchID" "AdID" "Position" "ObjectType" "HistCTR" "IsClick"
"1" 2 11441863 1 3 0.001804 0
"2" 2 22968355 7 3 0.004723 0
"3" 3 212187 7 3 0.029701 0
"4" 3 34084553 1 3 0.0043 0
"5" 3 36256251 2 2 NA NA
"6" 4 2073399 6 1 NA NA
"7" 4 6046052 7 1 NA NA
"8" 4 17544913 8 1 NA NA
"9" 4 20653823 1 3 0.003049 0
"10" 4 24129570 2 2 NA NA
"11" 5 530202 6 1 NA NA
"12" 5 11219482 1 3 0.043897 0
"13" 5 13375896 7 3 0.001563 0
"14" 5 30074367 2 2 NA NA
"15" 5 33506654 8 1 NA NA
"16" 6 6303835 1 3 0.007044 0
"17" 6 28312593 7 3 0.002199 0
"18" 8 24728248 1 3 0.003647 0
"19" 8 27598775 7 3 0.03137 0
"20" 9 1723280 6 1 NA NA
"21" 9 12183046 2 1 NA NA
"22" 9 14527486 8 1 NA NA
"23" 9 34932059 1 3 0.00908 0
"24" 9 36801941 7 3 1e-05 0
"25" 10 13524889 1 3 0.034652 0
"26" 10 34084553 7 3 0.002753 0
"27" 11 6486904 7 3 0.000697 0
"28" 11 18631439 1 3 1e-05 0
"29" 11 24656451 6 1 NA NA
"30" 11 34771144 8 1 NA NA
"31" 12 1123553 7 1 NA NA
"32" 12 13378643 2 2 NA NA
"33" 12 17613346 6 1 NA NA
"34" 12 21649152 1 3 0.005663 0
"35" 12 36603083 8 1 NA NA
"36" 13 7499560 1 3 0.004695 0
"37" 13 31665958 7 3 0.001745 0
"38" 14 21847208 8 1 NA NA
"39" 14 25213333 2 1 NA NA
"40" 14 29857850 1 3 0.004068 0
"41" 14 30702772 6 1 NA NA
"42" 14 34114280 7 3 0.003294 0
"43" 15 16853909 1 3 0.00197 0
"44" 15 18007497 7 3 1e-05 0
"45" 16 7876958 1 3 0.00912 0
"46" 16 23481221 7 1 NA NA
"47" 16 24083042 8 1 NA NA
"48" 16 35641371 6 1 NA NA
"49" 17 15133953 8 1 NA NA
"50" 17 16405113 6 1 NA NA
"51" 17 25194392 7 1 NA NA
"52" 17 25701927 2 2 NA NA
"53" 17 33687575 1 3 0.003016 0
"54" 19 20041052 2 1 NA NA
"55" 19 25146557 7 3 1e-05 0
"56" 19 30452367 1 3 1e-05 0
"57" 20 6115044 1 3 0.022008 0
"58" 20 15609465 8 1 NA NA
"59" 20 22215136 6 1 NA NA
"60" 20 27595199 7 3 0.004007 0
"61" 20 32678616 2 2 NA NA
"62" 21 4816993 1 3 0.02649 0
"63" 21 14750169 2 1 NA NA
"64" 21 14837845 6 1 NA NA
"65" 21 15651170 7 3 0.010262 0
"66" 21 34848261 8 1 NA NA
"67" 22 3760183 6 1 NA NA
"68" 22 10030083 8 1 NA NA
"69" 22 17851975 7 1 NA NA
"70" 22 18520061 2 2 NA NA
"71" 22 33066713 1 3 0.01189 0
"72" 23 3785519 2 1 NA NA
"73" 23 6419527 7 1 NA NA
"74" 23 12281759 1 3 0.006433 0
"75" 23 17563449 8 1 NA NA
"76" 23 24225770 6 1 NA NA
"77" 24 14775764 8 1 NA NA
"78" 24 23968902 1 3 0.000955 0
"79" 24 24078621 2 2 NA NA
"80" 24 26006074 6 1 NA NA
"81" 24 28852421 7 3 0.004373 0
"82" 25 2002324 6 1 NA NA
"83" 25 5389078 8 1 NA NA
"84" 25 12135671 7 1 NA NA
"85" 25 29614929 1 3 0.006885 0
"86" 26 13060051 2 2 NA NA
"87" 26 24728248 1 3 0.004281 0
"88" 26 27927411 7 3 0.001764 0
"89" 27 21387406 2 2 NA NA
"90" 27 30183154 1 3 0.089098 0
"91" 27 36720414 7 3 0.042455 0
"92" 29 16904117 7 3 0.003252 0
"93" 29 23307235 2 2 NA NA
"94" 29 29677960 1 3 0.006816 0
"95" 30 17579501 7 3 0.007595 0
"96" 30 29144688 1 3 0.001723 0
"97" 31 7852498 1 3 0.002008 0
